Community Area,Year,Month,Quarter,DayOfWeek,IsWeekend,CrimeCount,Rolling7d,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Lag1d,Lag3d,YearTrend,AreaMeanCount
0.0,2008,9,3,1,0,1,1.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1,0,0,0,1.0,1.0,0.26086956520604915,1.0
0.0,2009,10,4,6,1,1,1.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,0,1.0,1.0,0.304347826073724,1.0
0.0,2009,10,4,4,0,1,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,0,0,1.0,1.0,0.304347826073724,1.0
1.0,2002,4,2,0,0,1,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,1,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,4,2,0,0,2,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,1,0,0,1.0,1.0,0.0,1.814096499526963
1.0,2002,4,2,1,0,2,1.2,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0,1,0,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,4,2,2,0,1,1.3333333333333333,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0,1,0,0,2.0,1.0,0.0,1.814096499526963
1.0,2002,4,2,3,0,2,1.2857142857142858,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0,1,0,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,4,2,4,0,4,1.4285714285714286,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0,1,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,4,2,5,1,2,1.8571428571428568,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0,1,0,0,4.0,1.0,0.0,1.814096499526963
1.0,2002,4,2,6,1,6,2.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0,1,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,4,2,0,0,5,2.7142857142857144,0.8660254037844387,-0.4999999999999998,0.0,1.0,0,1,0,0,6.0,4.0,0.0,1.814096499526963
1.0,2002,4,2,1,0,2,3.1428571428571432,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0,1,0,0,5.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,2,0,2,3.1428571428571432,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,2.0,6.0,0.0,1.814096499526963
1.0,2002,5,2,4,0,2,3.2857142857142856,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,0,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,5,2,6,1,2,3.2857142857142856,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,0,0,1,3.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,2.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,1,0,3,2.8571428571428568,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,1.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,2,0,5,2.4285714285714284,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,4,0,4,2.4285714285714284,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,0,0,5.0,1.0,0.0,1.814096499526963
1.0,2002,5,2,5,1,2,2.7142857142857144,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,0,0,4.0,3.0,0.0,1.814096499526963
1.0,2002,5,2,6,1,2,2.7142857142857144,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,2.0,5.0,0.0,1.814096499526963
1.0,2002,5,2,0,0,3,2.7142857142857144,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,2.0,4.0,0.0,1.814096499526963
1.0,2002,5,2,1,0,3,2.8571428571428568,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,2,0,1,3.1428571428571432,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,3.0,2.0,0.0,1.814096499526963
1.0,2002,5,2,4,0,1,2.8571428571428568,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,0,0,1.0,3.0,0.0,1.814096499526963
1.0,2002,5,2,5,1,5,2.2857142857142856,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1.0,3.0,0.0,1.814096499526963
